Mã PKKH,Mô tả Phân Khúc Khách hàng,Mã mặt hàng,Tên mặt hàng,percentage
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN01,Bánh gạo lứt nguyên hạt,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN02,Bánh Biscotti,0.53
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN03,Bánh chuối yến mạch,0.27
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN04,Bánh điều ngũ cốc,0.36
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN05,Bánh mì hoa cúc pháp,0.27
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.36
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.05
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC02,Ngũ cốc Navan,0.05
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.05
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.2
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC05,Ngũ cốc Sấy khô Calbee (đỏ),0.26
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",BNC06,Ngũ cốc Sấy khô Calbee (trắng),0.3
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",GVK01,Đường hộp ăn kiêng,0.43
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",GVK02,Bơ đậu phộng Skippy,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HDD01,Granola,0.79
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HDD02,Hạt hạnh nhân,0.28
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HDD03,Hạt chia Úc,0.45
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS01,Nho khô 3 màu,0.21
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS02,Chà là nguyên cành,0.11
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS03,Khoai dẻo không đường,0.34
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",HQS04,Táo đỏ khô Hàn Quốc,0.33
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG01,Sữa Tươi Hữu Cơ TH True Milk Organic,0.1
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG02,Sữa óc chó hạnh nhân đậu đen Hàn Quốc,0.16
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG03,Sữa nghệ Amilac Milk Organic,0.11
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG04,Sữa 9 loại hạt Vinamilk Super Nut,0.24
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",SOG05,Sữa gạo Hàn Quốc,0.34
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK01,Miến rau câu keto,0.21
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK02,Bún gạo lứt,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK03,Yến mạch,0.44
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK05,Bún ngũ sắc,0.35
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK06,Nui ngũ sắc Fuma,0.38
A1,"Huấn luyện viên thể hình, giáo viên yoga, nghề liên quan đến vóc dáng",TPK06,Phở gạo lứt,0.38
A2,"Người đi làm tại gia, nội trợ",BAN01,Bánh gạo lứt nguyên hạt,0.08
A2,"Người đi làm tại gia, nội trợ",BAN02,Bánh Biscotti,0.14
A2,"Người đi làm tại gia, nội trợ",BAN03,Bánh chuối yến mạch,0.08
A2,"Người đi làm tại gia, nội trợ",BAN04,Bánh điều ngũ cốc,0.07
A2,"Người đi làm tại gia, nội trợ",BAN05,Bánh mì hoa cúc pháp,0.15
A2,"Người đi làm tại gia, nội trợ",BAN06,Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,0.22
A2,"Người đi làm tại gia, nội trợ",BNC01,Bột ngũ cốc hàn quốc Damtuh,0.04
A2,"Người đi làm tại gia, nội trợ",BNC02,Ngũ cốc Navan,0.04
A2,"Người đi làm tại gia, nội trợ",BNC03,Ngũ Cốc Hồn Hợp Familia Bio Organic,0.14
A2,"Người đi làm tại gia, nội trợ",BNC04,Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,0.13
